keyword,source_seed_group,avg_monthly_searches,competition,top_of_page_bid_low,top_of_page_bid_high,notes
escritorio de vidrio para computadora,office,500,高,1.60,11.04,review: requires page-role and SERP-intent filtering before use
escritorio de vidrio precio,office,50,高,0.56,10.43,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorio de vidrio promart,office,500,高,0.32,3.46,review: requires page-role and SERP-intent filtering before use
escritorio de vidrio y madera,office,500,高,4.15,17.01,review: requires page-role and SERP-intent filtering before use
escritorio doble de melamina,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorio doble en l,office,50,高,1.92,21.69,review: requires page-role and SERP-intent filtering before use
escritorio dos puestos,office,50,高,1.92,16.29,review: requires page-role and SERP-intent filtering before use
escritorio ejecutivo de melamina,office,50,高,16.84,58.81,review: requires page-role and SERP-intent filtering before use
escritorio en casa,office,500,高,4.21,21.72,review: requires page-role and SERP-intent filtering before use
escritorio en forma de l gamer,office,50,高,0.99,5.85,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorio en habitacion pequeña,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorio en l con archivador,office,50,高,1.87,8.95,review: requires page-role and SERP-intent filtering before use
escritorio en l en melamina,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorio en l precio,office,50,高,0.95,14.38,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorio en madera para oficina,office,500,高,1.76,11.82,review: requires page-role and SERP-intent filtering before use
escritorio en promart,office,5000,高,0.33,2.82,review: requires page-role and SERP-intent filtering before use
escritorio en vidrio templado,office,500,高,1.38,10.94,review: requires page-role and SERP-intent filtering before use
escritorio esquinero flotante,office,500,高,1.22,4.43,review: requires page-role and SERP-intent filtering before use
escritorio esquinero minimalista,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorio esquinero para computadora,office,500,高,2.33,14.55,review: requires page-role and SERP-intent filtering before use
escritorio esquinero vidrio,office,50,高,2.16,11.70,review: requires page-role and SERP-intent filtering before use
escritorio estandar,office,50,高,8.71,26.52,review: requires page-role and SERP-intent filtering before use
escritorio fijo,office,50,高,3.51,17.89,review: requires page-role and SERP-intent filtering before use
escritorio flotante para computadora,office,50,高,0.97,9.21,review: requires page-role and SERP-intent filtering before use
escritorio gamer de madera,office,500,高,1.72,10.65,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorio gamer de melamina,office,500,高,1.34,6.71,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorio gamer mujer,office,50,高,1.60,11.74,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorio madera en l,office,50,高,3.89,13.82,review: requires page-role and SERP-intent filtering before use
escritorio madera minimalista,office,50,高,7.99,35.70,review: requires page-role and SERP-intent filtering before use
escritorio melamina en l,office,500,高,0.62,8.69,review: requires page-role and SERP-intent filtering before use
escritorio melamina moderno,office,50,高,3.36,15.01,review: requires page-role and SERP-intent filtering before use
escritorio muebleria,office,50,高,8.23,47.73,review: requires page-role and SERP-intent filtering before use
escritorio oficina homecenter,office,500,高,0.80,10.87,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorio oficina mercado libre,office,50,高,4.04,18.84,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorio oficina precio,office,50,高,3.39,53.92,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorio para abogados,office,500,高,5.37,26.52,review: requires page-role and SERP-intent filtering before use
escritorio para computadora precio,office,50,高,2.12,24.08,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorio para computadora y impresora,office,500,高,1.45,8.43,review: requires page-role and SERP-intent filtering before use
escritorio para habitacion juvenil,office,50,高,1.38,12.46,review: requires page-role and SERP-intent filtering before use
escritorio para laptop pequeño,office,50,高,1.34,8.09,review: requires page-role and SERP-intent filtering before use
escritorio para niñas en melamina,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorio para oficina homecenter,office,500,高,0.67,10.61,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorio para pc con cajones,office,50,高,1.73,17.48,review: requires page-role and SERP-intent filtering before use
escritorio para pc de madera,office,50,高,0.63,6.18,review: requires page-role and SERP-intent filtering before use
escritorio para pc madera,office,50,高,1.04,10.32,review: requires page-role and SERP-intent filtering before use
escritorio para pc melamina,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorio pc esquinero,office,50,高,1.66,42.68,review: requires page-role and SERP-intent filtering before use
escritorio pc madera,office,50,高,2.61,11.31,review: requires page-role and SERP-intent filtering before use
escritorio pc melamina,office,50,中,,,review: requires page-role and SERP-intent filtering before use
escritorio plegable con silla,office,50,高,1.60,8.48,review: requires page-role and SERP-intent filtering before use
escritorio redondo oficina,office,50,高,9.09,55.57,review: requires page-role and SERP-intent filtering before use
escritorio sencillo para oficina,office,500,高,2.18,58.30,review: requires page-role and SERP-intent filtering before use
escritorio simple de madera,office,50,高,0.69,7.78,review: requires page-role and SERP-intent filtering before use
escritorio vidrio easy,office,50,高,0.62,9.03,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorio y librero de madera,office,500,高,2.77,41.02,review: requires page-role and SERP-intent filtering before use
escritorios bonitos para niñas,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorios chiquitos,office,50,高,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorios circulares,office,500,高,10.69,38.51,review: requires page-role and SERP-intent filtering before use
escritorios con muebles,office,500,高,1.48,11.26,review: requires page-role and SERP-intent filtering before use
escritorios curvos,office,500,高,4.08,25.45,review: requires page-role and SERP-intent filtering before use
escritorios de,office,500,高,3.90,76.35,review: requires page-role and SERP-intent filtering before use
escritorios de madera en forma de l,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorios de mdf,office,500,高,2.35,24.09,review: requires page-role and SERP-intent filtering before use
escritorios de melamina en l,office,500,高,0.38,13.56,review: requires page-role and SERP-intent filtering before use
escritorios de metal modernos,office,500,高,2.47,40.53,review: requires page-role and SERP-intent filtering before use
escritorios de niñas modernos,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorios de oficina de vidrio,office,500,高,2.48,25.14,review: requires page-role and SERP-intent filtering before use
escritorios de plastico,office,500,高,1.60,6.39,review: requires page-role and SERP-intent filtering before use
escritorios dobles juveniles,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorios en madera modernos,office,500,高,3.29,19.87,review: requires page-role and SERP-intent filtering before use
escritorios en mdf,office,500,高,1.82,26.52,review: requires page-role and SERP-intent filtering before use
escritorios en melamina modernos,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorios en vidrio para oficina,office,500,高,1.25,15.19,review: requires page-role and SERP-intent filtering before use
escritorios flotantes de melamina,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorios gamer easy,office,50,高,1.04,9.34,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorios hechos en casa,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorios industriales baratos,office,50,中,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorios innovadores,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorios lopez morton,office,50,高,5.46,40.27,review: requires page-role and SERP-intent filtering before use
escritorios melamina blanca,office,500,高,0.65,8.22,review: requires page-role and SERP-intent filtering before use
escritorios metal madera,office,500,高,1.47,16.03,review: requires page-role and SERP-intent filtering before use
escritorios modernos juveniles pequeños,office,50,中,,,review: requires page-role and SERP-intent filtering before use
escritorios modernos mercado libre,office,50,高,0.38,10.22,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorios modernos para habitacion,office,500,高,0.65,10.68,review: requires page-role and SERP-intent filtering before use
escritorios modernos precios,office,50,高,0.94,16.70,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorios muebles,office,5000,高,1.60,17.75,review: requires page-role and SERP-intent filtering before use
escritorios mujer,office,500,高,0.98,6.87,review: requires page-role and SERP-intent filtering before use
escritorios para,office,500,高,3.88,58.73,review: requires page-role and SERP-intent filtering before use
escritorios para dormitorios modernos,office,50,高,1.26,17.91,review: requires page-role and SERP-intent filtering before use
escritorios para dos,office,500,高,1.63,21.93,review: requires page-role and SERP-intent filtering before use
escritorios para esquinas,office,500,高,1.35,14.82,review: requires page-role and SERP-intent filtering before use
escritorios para jovenes modernos,office,50,高,1.13,18.68,review: requires page-role and SERP-intent filtering before use
escritorios para laptop e impresora,office,500,高,0.69,8.94,review: requires page-role and SERP-intent filtering before use
escritorios para niñas grandes,office,500,中,,,review: requires page-role and SERP-intent filtering before use
escritorios para pc easy,office,50,高,0.66,11.82,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorios pequeños para computadora,office,50,高,0.29,14.34,review: requires page-role and SERP-intent filtering before use
escritorios pequeños walmart,office,50,高,2.47,10.52,review: requires page-role and SERP-intent filtering before use
escritorios plegables homecenter,office,50,高,0.51,10.22,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorios redondos,office,500,高,2.00,24.18,review: requires page-role and SERP-intent filtering before use
escritorios universitarios,office,500,高,1.60,16.69,review: requires page-role and SERP-intent filtering before use
escritorios y sillas para oficina usados,office,50,未知,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
estacion de trabajo para 4 personas,office,50,高,21.72,429.15,review: requires page-role and SERP-intent filtering before use
estaciones de oficina,office,50,高,,,review: requires page-role and SERP-intent filtering before use
estaciones modulares para oficinas,office,50,低,,,review: requires page-role and SERP-intent filtering before use
estanteria oficina segunda mano,office,50,低,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
estanteria para mesa escritorio,office,50,未知,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
estilo de escritorios modernos,office,50,中,,,review: requires page-role and SERP-intent filtering before use
estudio te sillas,office,50,中,,,review: requires page-role and SERP-intent filtering before use
exito muebles de oficina,office,50,低,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
exito sillas oficina,office,50,高,0.44,7.48,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
fabrica de muebles de oficina en san martin,office,0,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
fabrica de muebles para oficina en rosario santa fe,office,0,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
fabrica de sillas de oficina en san martin,office,50,未知,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
fabrica de sillas de oficina zona oeste,office,,未知,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
fabrica de sillas de oficina zona sur,office,0,未知,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
fabrica de sillas ejecutivas,office,50,高,23.86,147.96,review: requires page-role and SERP-intent filtering before use
fabrica de sillas para escritorio,office,50,中,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
fabrica de sillones para oficina,office,0,未知,,,review: requires page-role and SERP-intent filtering before use
fabrica mobiliario oficina,office,50,中,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
fabrica sillas escritorio,office,50,未知,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
fabricante de mobiliario de oficina,office,50,高,45.87,337.08,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
falabella escritorios y sillas,office,50,高,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
falabella muebles de oficina,office,50,高,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
falabella sillas oficina,office,50,高,1.43,34.60,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
felps mobiliario,office,,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
folderamas,office,500,中,4.63,21.13,review: requires page-role and SERP-intent filtering before use
forma 5 mobiliario,office,50,低,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
forma 5 mobiliario de oficina,office,50,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
fursys muebles,office,50,高,,,review: requires page-role and SERP-intent filtering before use
gaudi muebles de oficina,office,50,高,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
gebesa muebles para oficina,office,50,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
haworth mobiliario,office,50,中,19.34,83.43,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
home center sillas escritorio,office,5000,高,0.62,6.60,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
home collection office silla escritorio,office,50,高,1.04,15.48,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
home collection silla escritorio,office,50,高,1.49,12.58,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
home office muebles oficina,office,50,高,,,review: requires page-role and SERP-intent filtering before use
home office sillas,office,50,高,1.76,37.18,review: requires page-role and SERP-intent filtering before use
homecenter muebles de oficina,office,50,高,0.67,15.47,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
indumac equipamientos,office,50,高,,,review: requires page-role and SERP-intent filtering before use
indumac escritorios,office,50,中,,,review: requires page-role and SERP-intent filtering before use
indumac sillas escritorio,office,50,未知,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
issa mobiliario de oficina,office,,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
jgorbe catalogo,office,,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
kalamazoo mobiliario oficina,office,,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
kalea sillas de oficina,office,50,低,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
kassani sillas,office,500,高,3.99,13.36,review: requires page-role and SERP-intent filtering before use
kesta mobiliario,office,,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
kl 1 mobiliario de oficina sl,office,0,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
kl1 mobiliario,office,50,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
kl1 mobiliario de oficina,office,0,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
la carpeta muebles de oficina,office,50,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
la oficina muebles,office,50,高,,,review: requires page-role and SERP-intent filtering before use
la silla gamer,office,50,高,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
la silla se baja sola,office,50,低,,,review: requires page-role and SERP-intent filtering before use
las sillas confidentes,office,50,低,,,review: requires page-role and SERP-intent filtering before use
liberona sillas y muebles de oficina,office,50,高,17.59,54.81,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
librero escritorio plegable,office,50,高,,,review: requires page-role and SERP-intent filtering before use
limobel mobiliario,office,0,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
linea mobiliario de oficina,office,0,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
linio silla escritorio,office,50,高,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
los jefes escritorios,office,50,中,13.46,45.68,review: requires page-role and SERP-intent filtering before use
lugea mobiliarios para oficinas,office,50,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
madera para escritorios,office,500,高,1.44,13.56,review: requires page-role and SERP-intent filtering before use
madera para muebles de oficina,office,50,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
maestro sillas de escritorio,office,50,高,0.32,5.70,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
makro mobiliario oficina,office,,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
malla para sillas,office,50,中,,,review: requires page-role and SERP-intent filtering before use
mampara mesa oficina,office,50,低,,,review: requires page-role and SERP-intent filtering before use
mano a mano muebles escritorio,office,0,未知,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
marca de muebles de oficina,office,50,高,7.23,85.30,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
marcas de muebles para oficina,office,50,高,9.67,77.98,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
medida de escritorio de oficina,office,5000,高,7.99,36.92,review: requires page-role and SERP-intent filtering before use
medida escritorio estandar,office,500,高,,,review: requires page-role and SERP-intent filtering before use
medida escritorio oficina,office,500,高,12.79,105.94,review: requires page-role and SERP-intent filtering before use
medida estandar de escritorio,office,500,高,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
medida estandar escritorio,office,500,高,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
medida silla,office,500,低,,,review: requires page-role and SERP-intent filtering before use
melamina para escritorio,office,500,高,0.98,7.80,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa de computadora de madera,office,500,高,0.81,10.22,review: requires page-role and SERP-intent filtering before use
mesa de computadora de vidrio,office,50,中,,,review: requires page-role and SERP-intent filtering before use
mesa de computadora en madera,office,50,低,,,review: requires page-role and SERP-intent filtering before use
mesa de madera para oficina,office,50,高,7.93,58.24,review: requires page-role and SERP-intent filtering before use
mesa de melamina para oficina,office,500,高,5.19,69.11,review: requires page-role and SERP-intent filtering before use
mesa de oficina 160x80,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
mesa de oficina euro 2000,office,0,未知,,,review: requires page-role and SERP-intent filtering before use
mesa de oficina reuniones,office,50,高,9.91,32.51,review: requires page-role and SERP-intent filtering before use
mesa de pc escritorio,office,50,高,0.35,11.47,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa de recepcion oficina,office,50,中,,,review: requires page-role and SERP-intent filtering before use
mesa de recepción oficina,office,50,中,,,review: requires page-role and SERP-intent filtering before use
mesa de reuniones de melamina,office,500,中,2.68,11.72,review: requires page-role and SERP-intent filtering before use
mesa de reuniones de oficina,office,50,高,,,review: requires page-role and SERP-intent filtering before use
mesa de reuniones en melamina,office,50,中,,,review: requires page-role and SERP-intent filtering before use
mesa de reuniones grande,office,50,高,17.47,41.46,review: requires page-role and SERP-intent filtering before use
mesa de reuniones melamina,office,50,中,,,review: requires page-role and SERP-intent filtering before use
mesa de reuniones oficina precio,office,50,高,1.79,13.31,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa de reuniones para 12 personas,office,50,高,13.91,43.57,review: requires page-role and SERP-intent filtering before use
mesa de reuniones para oficina precio,office,50,高,18.49,95.24,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa de reuniones precio,office,50,高,3.73,14.73,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa escritorio amplia,office,50,高,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa escritorio en ele,office,50,未知,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa escritorio grande blanca,office,50,未知,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa escritorio marron,office,50,高,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa escritorio para estudiante,office,50,中,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa escritorio para pc,office,50,中,0.53,8.38,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa escritorio pequeña barata,office,50,高,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa escritorio rox,office,50,未知,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa escritorio simple,office,50,高,0.36,14.70,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa f25 forma 5,office,50,低,,,review: requires page-role and SERP-intent filtering before use
mesa larga para oficina,office,50,高,9.55,270.39,review: requires page-role and SERP-intent filtering before use
mesa oficina 160,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
mesa oficina blanca segunda mano,office,,未知,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa oficina curva,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
mesa oficina despacho,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
mesa oficina elevable electrica,office,50,低,,,review: requires page-role and SERP-intent filtering before use
mesa oficina en casa,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
mesa oficina ergonomica,office,50,低,,,review: requires page-role and SERP-intent filtering before use
mesa oficina metalica,office,50,低,,,review: requires page-role and SERP-intent filtering before use
mesa oficina modular,office,50,中,,,review: requires page-role and SERP-intent filtering before use
mesa oficina nordica,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
mesa oficina operativa,office,0,未知,,,review: requires page-role and SERP-intent filtering before use
mesa oficina precio,office,50,低,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa oficina ruedas,office,50,低,,,review: requires page-role and SERP-intent filtering before use
mesa ovalada para sala de juntas,office,50,高,18.52,314.74,review: requires page-role and SERP-intent filtering before use
mesa para computadora de madera,office,500,高,1.58,16.84,review: requires page-role and SERP-intent filtering before use
mesa para computadora sodimac,office,50,高,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa para escritorio de madera,office,500,高,1.40,13.05,review: requires page-role and SERP-intent filtering before use
mesa para recepcion oficina,office,50,高,8.76,136.78,review: requires page-role and SERP-intent filtering before use
mesa para reuniones oficina,office,50,高,7.33,51.41,review: requires page-role and SERP-intent filtering before use
mesa para sala de juntas 8 personas precio,office,50,低,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa para sala de juntas precio,office,50,中,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa timber forma 5,office,50,低,,,review: requires page-role and SERP-intent filtering before use
mesa v30 forma 5,office,0,未知,,,review: requires page-role and SERP-intent filtering before use
mesa y silla de estudio,office,50,低,,,review: requires page-role and SERP-intent filtering before use
mesa y sillas de oficina,office,50,高,10.61,150.06,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesas altas de oficina,office,50,高,,,review: requires page-role and SERP-intent filtering before use
mesas auxiliares de oficina,office,50,高,3.98,154.71,review: requires page-role and SERP-intent filtering before use
mesas colectividades,office,0,未知,,,review: requires page-role and SERP-intent filtering before use
mesas de despacho de segunda mano,office,50,低,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesas de despacho pequeñas,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
mesas de diseño oficina,office,0,未知,,,review: requires page-role and SERP-intent filtering before use
mesas de escritorio con ruedas,office,50,高,0.63,14.30,review: requires page-role and SERP-intent filtering before use
mesas de oficina con separadores,office,50,高,,,review: requires page-role and SERP-intent filtering before use
mesas de oficina de madera,office,50,中,,,review: requires page-role and SERP-intent filtering before use
mesas de oficina economicas,office,50,未知,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesas de oficina online,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
mesas de oficina para casa,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
mesas de oficina usadas,office,50,低,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesas de recepcion modernas,office,50,中,,,review: requires page-role and SERP-intent filtering before use
mesas de sala de juntas modernas,office,50,高,10.71,38.00,review: requires page-role and SERP-intent filtering before use
mesas de trabajo de oficina,office,500,高,11.63,223.53,review: requires page-role and SERP-intent filtering before use
mesas de trabajo modernas,office,50,高,,,review: requires page-role and SERP-intent filtering before use
mesas ergonomicas para computadora,office,50,中,4.70,11.88,review: requires page-role and SERP-intent filtering before use
mesas escritorio baratas online,office,0,未知,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesas escritorio casa,office,50,高,,,review: requires page-role and SERP-intent filtering before use
mesas grandes para oficina,office,50,中,,,review: requires page-role and SERP-intent filtering before use
mesas modulares para oficina,office,50,高,,,review: requires page-role and SERP-intent filtering before use
mesas oficina laster,office,,未知,,,observe: no volume returned; keep only if page role or conversion value is strong
mesas operativas de oficina,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
mesas para oficina precios,office,50,高,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesas para sala de reuniones precios,office,50,中,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesas salas reuniones,office,50,高,7.67,28.21,review: requires page-role and SERP-intent filtering before use
meydo muebles escolares y muebles de oficina sillas para oficina,office,0,未知,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mi silla de oficina se baja sola,office,50,低,,,review: requires page-role and SERP-intent filtering before use
mi silla gamer se baja sola,office,50,低,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mi silla se baja sola,office,50,低,,,review: requires page-role and SERP-intent filtering before use
mobiliario archivo,office,50,中,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
mobiliario call center segunda mano,office,50,未知,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mobiliario colectividades,office,50,低,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
mobiliario comercial del pacifico,office,50,低,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
mobiliario de archivo,office,50,中,9.24,65.01,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
mobiliario de archivo de oficina,office,50,高,23.94,96.30,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
mobiliario de computo,office,50,中,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
mobiliario de la oficina,office,50,高,27.56,758.78,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
mobiliario de oficina amazon,office,50,未知,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mobiliario de oficina barato online,office,0,未知,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mobiliario de oficina com,office,50,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
